"cbsa","zip","tax_rate","covid"
41860,94104,0.0038,0
41860,94140,0.0038,0
41860,94143,0.0038,0
41860,94115,0.0038,0
41860,94118,0.0038,0
41860,94108,0.0038,0
41860,94134,0.0038,0
41860,94146,0.0038,0
41860,94112,0.0038,0
41860,94117,0.0038,0
41860,94130,0.0038,0
41860,94126,0.0038,0
41860,94158,0.0038,0
41860,94131,0.0038,0
41860,94129,0.0038,0
41860,94127,0.0038,0
41860,94147,0.0038,0
41860,94141,0.0038,0
41860,94124,0.0038,0
41860,94105,0.0038,0
41860,94110,0.0038,0
41860,94164,0.0038,0
41860,94119,0.0038,0
41860,94107,0.0038,0
41860,94109,0.0038,0
41860,94103,0.0038,0
41860,94102,0.0038,0
41860,94123,0.0038,0
41860,94132,0.0038,0
41860,94159,0.0038,0
41860,94111,0.0038,0
41860,94188,0.0038,0
41860,94121,0.0038,0
41860,94122,0.0038,0
41860,94114,0.0038,0
41860,94133,0.0038,0
41860,94116,0.0038,0
41860,94134,0.0038,0
41860,94112,0.0038,0
41860,94128,0.0038,0
41860,94125,0.0038,0
37980,19810,0.0125,0
37980,19897,0.0125,0
37980,19801,0.0125,0
37980,19804,0.0125,0
37980,19808,0.0125,0
37980,19803,0.0125,0
37980,19890,0.0125,0
37980,19895,0.0125,0
37980,19806,0.0125,0
37980,19807,0.0125,0
37980,19899,0.0125,0
37980,19898,0.0125,0
37980,19802,0.0125,0
37980,19884,0.0125,0
37980,19805,0.0125,0
37980,19809,0.0125,0
37980,19892,0.0125,0
16980,46377,0.015,0
47900,21704,0.0296,0
47900,21701,0.0296,0
47900,21702,0.0296,0
47900,21703,0.0296,0
47900,21705,0.0296,0
19820,48217,0.024,0
19820,48224,0.024,0
19820,48211,0.024,0
19820,48222,0.024,0
19820,48209,0.024,0
19820,48214,0.024,0
19820,48215,0.024,0
19820,48205,0.024,0
19820,48234,0.024,0
19820,48223,0.024,0
19820,48235,0.024,0
19820,48204,0.024,0
19820,48210,0.024,0
19820,48231,0.024,0
19820,48202,0.024,0
19820,48233,0.024,0
19820,48227,0.024,0
19820,48228,0.024,0
19820,48243,0.024,0
19820,48201,0.024,0
19820,48208,0.024,0
19820,48288,0.024,0
19820,48221,0.024,0
19820,48216,0.024,0
19820,48207,0.024,0
19820,48213,0.024,0
19820,48242,0.024,0
19820,48206,0.024,0
19820,48226,0.024,0
19820,48244,0.024,0
19820,48238,0.024,0
19820,48219,0.024,0
19820,48232,0.024,0
19820,48212,0.01,0
19820,48203,0.02,0
19820,48446,0.01,0
19820,48341,0.01,0
19820,48343,0.01,0
19820,48340,0.01,0
19820,48342,0.01,0
19820,48061,0.01,0
19820,48060,0.01,0
35620,7105,0.01,0
35620,7114,0.01,0
35620,7175,0.01,0
35620,7104,0.01,0
35620,7101,0.01,0
35620,7112,0.01,0
35620,7107,0.01,0
35620,7106,0.01,0
35620,7103,0.01,0
35620,7102,0.01,0
35620,7108,0.01,0
35620,7114,0.01,0
35620,7112,0.01,0
35620,10704,16.75,0
35620,10705,16.75,0
35620,10710,16.75,0
35620,10701,16.75,0
35620,10705,16.75,0
35620,10702,16.75,0
35620,10704,16.75,0
35620,10703,16.75,0
37980,19001,0.5,0
37980,19002,0.5,0
37980,19014,0.5,0
37980,19310,0.5,0
37980,19310,0.5,0
37980,19311,1,0
37980,19505,0.5,0
37980,19505,0.5,0
37980,18910,0.75,0
37980,19020,1,0
37980,19020,1,0
37980,19512,0.5,0
37980,19512,0.5,0
37980,19405,1,0
37980,19405,1,0
37980,19007,0,0
37980,19007,0.5,0
37980,19015,0.5,0
37980,19009,0.5,0
37980,18912,0.5,0
35620,18324,0.75,0
35620,18324,0.75,0
37980,19317,0,0
37980,19317,0,0
37980,18914,0.5,0
37980,18914,0.5,0
37980,19318,0.5,0
37980,19012,0.5,0
37980,19017,0,0
37980,19013,1,0
37980,19016,1,0
37980,19018,0,0
37980,19426,0.5,0
37980,19428,0.5,0
37980,18036,0.5,0
37980,18036,0.5,0
37980,19023,1,0
37980,19023,0,0
37980,19335,0.5,0
37980,18902,0.5,0
37980,18901,0.5,0
37980,18902,0.5,0
37980,18901,0.5,0
37980,18917,0.5,0
37980,18917,0.5,0
37980,18917,0.5,0
37980,18039,0.5,0
37980,18041,0.5,0
37980,18041,0.5,0
37980,18041,0.5,0
37980,18041,0.5,0
35620,18302,0.5,0
35620,18302,0.5,0
37980,19520,0.5,0
37980,19520,0.5,0
37980,18921,0.5,0
37980,19032,1,0
37980,19036,0,0
37980,18054,0.5,0
37980,18054,0.5,0
37980,19040,0.5,0
37980,19040,0.5,0
37980,19440,0.5,0
37980,19440,0.5,0
37980,19440,0.5,0
37980,19440,0.5,0
37980,19041,0,0
37980,19041,0,0
37980,18055,0.5,0
37980,18055,0.5,0
37980,18927,0.5,0
37980,19344,0.5,0
37980,19344,0.5,0
37980,19344,1,0
37980,19344,1,0
37980,19044,0.5,0
37980,19044,0.5,0
37980,19348,0.5,0
37980,19047,0,0
37980,19446,0.5,0
37980,19050,0,0
37980,19355,1,0
37980,19061,1,0
35620,18336,1,0
37980,18934,0.5,0
37980,19063,1,0
35620,18337,0.75,0
35620,18337,0.5,0
35620,18337,0.5,0
37980,19358,0.5,0
37980,19070,0,0
37980,18938,0.5,0
37980,19360,0.5,0
37980,18940,0.5,0
37980,18940,0.5,0
37980,18940,0,0
37980,19401,1.6,0
37980,19404,1.6,0
37980,19403,1.6,0
37980,19454,0.5,0
37980,19454,0.5,0
37980,19074,0,0
37980,19362,0.5,0
37980,19362,0.5,0
37980,19363,0.5,0
37980,19363,0.5,0
37980,19363,0.5,0
37980,19363,0.5,0
37980,19365,0.5,0
37980,18073,0.5,0
37980,18073,0.5,0
37980,18944,0.5,0
37980,19460,0.5,0
37980,19460,0.5,0
37980,19366,0.5,0
37980,19464,0.5,0
37980,19464,0.5,0
37980,19465,0.5,0
37980,19464,0.5,0
37980,19076,0,0
37980,18951,0.5,0
37980,18951,0.5,0
37980,18076,0.5,0
37980,18955,0.5,0
37980,19078,0,0
37980,18077,0.5,0
37980,18077,0.5,0
37980,19468,0.5,0
37980,18957,0.5,0
37980,19473,0.5,0
37980,18960,0.5,0
37980,19079,1,0
37980,18962,0.5,0
37980,19474,0.75,0
37980,18963,0.5,0
37980,18964,0.5,0
37980,18964,0.5,0
37980,18966,0.5,0
37980,18966,0.5,0
37980,18966,0.5,0
37980,19475,0.5,0
37980,19064,0.5,0
37980,19064,0.75,0
37980,19064,0,0
37980,19064,0.5,0
37980,19064,0.5,0
37980,19064,0.5,0
37980,19064,0.5,0
37980,19064,0.5,0
37980,19064,0.5,0
37980,19081,0,0
37980,18969,0.5,0
37980,18969,0.5,0
37980,18969,0.5,0
37980,18969,0.5,0
37980,18970,0.5,0
37980,19375,0.5,0
37980,19082,0,0
37980,18974,0.5,0
37980,18974,0.5,0
37980,18976,0.5,0
37980,18976,0.5,0
37980,19087,0.5,0
37980,19087,0.5,0
37980,19087,0.5,0
37980,19087,0.5,0
37980,19087,0.5,0
37980,19087,0.5,0
37980,19087,0.5,0
37980,19087,0.5,0
37980,19087,0.5,0
37980,19087,0.5,0
37980,19087,0.5,0
37980,19087,0.5,0
37980,19087,0.5,0
37980,19087,0.5,0
37980,19087,0.5,0
37980,19087,0.5,0
37980,19087,0.5,0
37980,19087,0.5,0
37980,19087,0.5,0
37980,19087,0.5,0
37980,19087,0.5,0
37980,19087,0.5,0
37980,19087,0.5,0
37980,19087,0.5,0
37980,19087,0.5,0
37980,19087,0.5,0
37980,19087,0.5,0
37980,19381,0.75,0
37980,19382,0.75,0
37980,19383,0.75,0
37980,19380,0.75,0
37980,19382,0.75,0
37980,19390,1,0
37980,19395,0.5,0
37980,19490,0.5,0
37980,19810,0.0125,1
37980,19897,0.0125,1
37980,19801,0.0125,1
37980,19804,0.0125,1
37980,19808,0.0125,1
37980,19803,0.0125,1
37980,19890,0.0125,1
37980,19895,0.0125,1
37980,19806,0.0125,1
37980,19807,0.0125,1
37980,19899,0.0125,1
37980,19898,0.0125,1
37980,19802,0.0125,1
37980,19884,0.0125,1
37980,19805,0.0125,1
37980,19809,0.0125,1
37980,19892,0.0125,1
16980,46377,0.016,1
47900,21704,0.0296,1
47900,21701,0.0296,1
47900,21702,0.0296,1
47900,21703,0.0296,1
47900,21705,0.0296,1
19820,48217,0.024,1
19820,48224,0.024,1
19820,48211,0.024,1
19820,48222,0.024,1
19820,48209,0.024,1
19820,48214,0.024,1
19820,48215,0.024,1
19820,48205,0.024,1
19820,48234,0.024,1
19820,48223,0.024,1
19820,48235,0.024,1
19820,48204,0.024,1
19820,48210,0.024,1
19820,48231,0.024,1
19820,48202,0.024,1
19820,48233,0.024,1
19820,48227,0.024,1
19820,48228,0.024,1
19820,48243,0.024,1
19820,48201,0.024,1
19820,48208,0.024,1
19820,48288,0.024,1
19820,48221,0.024,1
19820,48216,0.024,1
19820,48207,0.024,1
19820,48213,0.024,1
19820,48242,0.024,1
19820,48206,0.024,1
19820,48226,0.024,1
19820,48244,0.024,1
19820,48238,0.024,1
19820,48219,0.024,1
19820,48232,0.024,1
19820,48212,0.01,1
19820,48203,0.02,1
19820,48446,0.01,1
19820,48341,0.01,1
19820,48343,0.01,1
19820,48340,0.01,1
19820,48342,0.01,1
19820,48061,0.01,1
19820,48060,0.01,1
35620,7105,0.01,1
35620,7114,0.01,1
35620,7175,0.01,1
35620,7104,0.01,1
35620,7101,0.01,1
35620,7112,0.01,1
35620,7107,0.01,1
35620,7106,0.01,1
35620,7103,0.01,1
35620,7102,0.01,1
35620,7108,0.01,1
35620,7114,0.01,1
35620,7112,0.01,1
35620,10704,0.0161,1
35620,10705,0.0161,1
35620,10710,0.0161,1
35620,10701,0.0161,1
35620,10705,0.0161,1
35620,10702,0.0161,1
35620,10704,0.0161,1
35620,10703,0.0161,1
37980,19001,0.5,1
37980,19002,0.5,1
37980,19014,0.005,1
37980,19310,0.005,1
37980,19310,0.005,1
37980,19311,0.01,1
37980,19505,0.5,1
37980,19505,0.5,1
37980,18910,0.0075,1
37980,19020,1,1
37980,19020,1,1
37980,19512,0.5,1
37980,19512,0.5,1
37980,19405,1,1
37980,19405,1,1
37980,19007,0,1
37980,19007,0.5,1
37980,19015,0.005,1
37980,19009,0.5,1
37980,18912,0.5,1
37980,18912,0,1
35620,18324,0.75,1
35620,18324,0.75,1
37980,19317,0,1
37980,19317,0,1
37980,18914,0.5,1
37980,18914,0.5,1
37980,19318,0.5,1
37980,19012,1,1
37980,19017,0,1
37980,19013,1,1
37980,19016,1,1
37980,19018,0,1
37980,19426,0.5,1
37980,19428,0.5,1
37980,18036,0.5,1
37980,18036,0.5,1
37980,19023,1,1
37980,19023,0,1
37980,19335,0.5,1
37980,18902,0.5,1
37980,18901,0.5,1
37980,18902,0.5,1
37980,18901,0.5,1
37980,18917,0.5,1
37980,18917,0.005,1
37980,18917,0.005,1
37980,18039,0.005,1
37980,18041,0.5,1
37980,18041,0.5,1
37980,18041,0.5,1
37980,18041,0.5,1
35620,18302,0.5,1
35620,18302,0.5,1
37980,19520,0.5,1
37980,19520,0.5,1
37980,18921,0.5,1
37980,19032,1,1
37980,19036,0,1
37980,18054,0.005,1
37980,18054,0.005,1
37980,19040,0.5,1
37980,19040,0.5,1
37980,19440,0.5,1
37980,19440,0.5,1
37980,19440,0.5,1
37980,19440,0.5,1
37980,19041,0,1
37980,19041,0,1
35620,18428,0,1
35620,18428,0,1
37980,18055,0.5,1
37980,18055,0.5,1
37980,18927,0.5,1
37980,19344,0.005,1
37980,19344,0.005,1
37980,19344,0.01,1
37980,19344,0.01,1
37980,19044,0.5,1
37980,19044,0.5,1
37980,19046,0,1
37980,19046,0,1
37980,19348,0.5,1
35620,18435,0,1
37980,19047,0,1
37980,19446,0.5,1
37980,19050,0.5,1
37980,19355,1,1
37980,19061,1,1
35620,18336,0.01,1
37980,18934,0.5,1
37980,19063,1,1
35620,18337,0,1
35620,18337,0,1
35620,18337,0.005,1
35620,18337,0.0075,1
35620,18337,0.005,1
37980,19358,0.5,1
37980,19067,0,1
37980,19070,0,1
37980,19072,0,1
37980,18938,0.5,1
37980,19360,0.005,1
37980,18940,0.5,1
37980,18940,0.5,1
37980,18940,0,1
37980,19401,1.6,1
37980,19404,1.6,1
37980,19403,1.6,1
37980,19454,0.5,1
37980,19454,0.5,1
37980,19074,0,1
37980,19362,0.5,1
37980,19362,0.5,1
37980,19363,0.5,1
37980,19363,0.5,1
37980,19363,0.5,1
37980,19363,0.5,1
37980,19365,0.005,1
35620,18451,0,1
37980,18073,0.5,1
37980,18073,0.5,1
37980,18944,0.5,1
37980,19460,0.5,1
37980,19460,0.5,1
37980,19366,0.5,1
37980,19464,0.5,1
37980,19464,0.5,1
37980,19465,0.5,1
37980,19464,0.5,1
37980,19076,1,1
37980,18951,0.5,1
37980,18951,0.5,1
37980,18076,0.5,1
37980,18955,0.5,1
37980,19078,0,1
37980,18077,0.5,1
37980,18077,0.5,1
37980,19468,0.5,1
37980,18957,0.005,1
37980,19473,0.005,1
37980,18960,0.5,1
37980,19079,1,1
35620,18458,0,1
37980,18962,0.5,1
37980,19474,0.0075,1
37980,18963,0.5,1
37980,18964,0.5,1
37980,18964,0.5,1
37980,18966,0.005,1
37980,18966,0,1
37980,18966,0.005,1
37980,18966,0.5,1
37980,19475,0.5,1
37980,19064,0.005,1
37980,19064,0.005,1
37980,19064,0.5,1
37980,19064,0.5,1
37980,19064,0.75,1
37980,19064,0.005,1
37980,19064,0,1
37980,19064,0.5,1
37980,19064,0.005,1
37980,19081,0,1
37980,18969,0.5,1
37980,18969,0.5,1
37980,18969,0.5,1
37980,18969,0.5,1
37980,18970,0.005,1
37980,19375,0.005,1
37980,19082,0,1
37980,18974,0.5,1
37980,18974,0.5,1
37980,18976,0.5,1
37980,18976,0.005,1
37980,19087,0.005,1
37980,19087,0.005,1
37980,19087,0.005,1
37980,19087,0.5,1
37980,19087,0.5,1
37980,19087,0.5,1
37980,19087,0.5,1
37980,19087,0.5,1
37980,19087,0.5,1
37980,19087,0.005,1
37980,19087,0.005,1
37980,19087,0.005,1
37980,19087,0.005,1
37980,19087,0.005,1
37980,19087,0.005,1
37980,19087,0.005,1
37980,19087,0.005,1
37980,19087,0.005,1
37980,19087,0.005,1
37980,19087,0.005,1
37980,19087,0.005,1
37980,19087,0.5,1
37980,19087,0.5,1
37980,19087,0.5,1
37980,19087,0.5,1
37980,19087,0.5,1
37980,19087,0.5,1
37980,19381,0.75,1
37980,19382,0.75,1
37980,19383,0.75,1
37980,19380,0.75,1
37980,19382,0.75,1
37980,19390,0.01,1
37980,19395,0.5,1
37980,19490,0.005,1
